cell_id,provider,model,task_id,scenario,mode,repeat,state,run_id,agent_exit_code,agent_completion_status,agent_exit_discrepancy,model_config_sha256,verification_outcome,deterministic_pass,duration_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,provider_reported_cost,estimated_cost,pricing_basis,pricing_currency,questions,answers,attempts
neuralwatt__qwen3.6-35b__ce-01-antidote-output__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-01-antidote-output,,ask_user,1,completed,20260717T204909Z-ce-01-antidote-output-2382897-1784321349613246093,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,failed,False,760.019011,115346,8570496,50244,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-02-horologia-overdue__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-02-horologia-overdue,,ask_user,1,completed,20260717T211449Z-ce-02-horologia-overdue-2500315-1784322889433846634,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,passed,True,299.902043,66255,2309472,17555,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-03-jvl-completions__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-03-jvl-completions,,ask_user,1,completed,20260717T213627Z-ce-03-jvl-completions-2592778-1784324187601120562,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,failed,False,457.945361,79905,3066624,19185,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-04-maplibre-source-location__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-04-maplibre-source-location,,ask_user,1,completed,20260717T221036Z-ce-04-maplibre-source-location-2667985-1784326236192187401,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,failed,False,508.524739,119056,5658048,22367,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-05-mise-slsa-archive__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-05-mise-slsa-archive,,ask_user,1,completed,20260717T230324Z-ce-05-mise-slsa-archive-2999383-1784329404998515453,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,failed,False,1458.814012,220416,9041472,38440,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-06-maplibre-ffi-ci__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-06-maplibre-ffi-ci,,ask_user,1,completed,20260718T001412Z-ce-06-maplibre-ffi-ci-3224143-1784333652444624106,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,failed,False,613.560589,216992,6224064,51489,0,0.0,,,,0,0,1
neuralwatt__qwen3.6-35b__ce-07-mobility-result__validation-fail-fast__ask_user__r01,neuralwatt,qwen3.6-35b,ce-07-mobility-result,validation-fail-fast,ask_user,1,completed,20260718T003639Z-ce-07-mobility-result-3291040-1784334999555903780,0,completed,False,595e70cd5ce37b64021c6e2dc0d072800e0d0c0b1ef35a413c8eaa6a8eeb9738,passed,True,731.604566,89461,2389728,23995,0,0.0,,,,0,0,1
zai__glm-5.2__ce-01-antidote-output__default__ask_user__r01,zai,glm-5.2,ce-01-antidote-output,,ask_user,1,completed,20260717T153919Z-ce-01-antidote-output-1273157-1784302759238741353,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,passed,True,619.855719,42015,1306112,4395,11588,0.0,,,,0,0,1
zai__glm-5.2__ce-02-horologia-overdue__default__ask_user__r01,zai,glm-5.2,ce-02-horologia-overdue,,ask_user,1,completed,20260717T160715Z-ce-02-horologia-overdue-1420651-1784304435700983320,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,passed,True,564.893803,84283,1782784,8245,7274,0.0,,,,0,0,1
zai__glm-5.2__ce-03-jvl-completions__default__ask_user__r01,zai,glm-5.2,ce-03-jvl-completions,,ask_user,1,completed,20260717T163045Z-ce-03-jvl-completions-1523565-1784305845185403744,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,passed,True,968.295163,67837,2590400,12055,20040,0.0,,,,0,0,1
zai__glm-5.2__ce-04-maplibre-source-location__default__ask_user__r01,zai,glm-5.2,ce-04-maplibre-source-location,,ask_user,1,completed,20260717T165317Z-ce-04-maplibre-source-location-1623962-1784307197423393593,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,failed,False,677.220003,52498,1715584,7986,7632,0.0,,,,0,0,1
zai__glm-5.2__ce-05-mise-slsa-archive__default__ask_user__r01,zai,glm-5.2,ce-05-mise-slsa-archive,,ask_user,1,completed,20260717T173610Z-ce-05-mise-slsa-archive-1733366-1784309770502929858,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,failed,False,2299.226498,145930,6219840,24760,54476,0.0,,,,1,1,1
zai__glm-5.2__ce-06-maplibre-ffi-ci__default__ask_user__r01,zai,glm-5.2,ce-06-maplibre-ffi-ci,,ask_user,1,completed,20260717T183846Z-ce-06-maplibre-ffi-ci-1990983-1784313526518319230,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,passed,True,1747.881734,337805,6177408,23168,60386,0.0,,,,1,1,1
zai__glm-5.2__ce-07-mobility-result__all-errors-as-result__ask_user__r01,zai,glm-5.2,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260717T200759Z-ce-07-mobility-result-2264240-1784318879335111088,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,passed,True,989.836284,101946,3845888,17341,14769,0.0,,,,0,0,1
zai__glm-5.2__ce-07-mobility-result__validation-fail-fast__ask_user__r01,zai,glm-5.2,ce-07-mobility-result,validation-fail-fast,ask_user,1,completed,20260717T194139Z-ce-07-mobility-result-2131547-1784317299850593810,0,completed,False,ee7c2148bd52a51f1eac52051ca8f86e9665a6cd8d33d6b5489b0f0d1f5f80dc,failed,False,1115.388322,108710,2714432,16737,15781,0.0,,,,0,0,1
