cell_id,provider,model,task_id,scenario,repeat,state,run_id,agent_exit_code,agent_completion_status,agent_exit_discrepancy,model_config_sha256,verification_outcome,deterministic_pass,duration_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,provider_reported_cost,estimated_cost,pricing_basis,pricing_currency,attempts
kimi-subscription__kimi-k3__ce-01-antidote-output__default__r01,kimi-subscription,kimi-k3,ce-01-antidote-output,,1,completed,20260720T105508Z-ce-01-antidote-output-1360144-1784544908186786646,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,failed,False,426.50176,33949,562432,3327,4376,0.0,,,,1
kimi-subscription__kimi-k3__ce-02-horologia-overdue__default__r01,kimi-subscription,kimi-k3,ce-02-horologia-overdue,,1,completed,20260720T112608Z-ce-02-horologia-overdue-1487683-1784546768713983934,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,passed,True,721.020928,49485,1525248,9922,3794,0.0,,,,1
kimi-subscription__kimi-k3__ce-03-jvl-completions__default__r01,kimi-subscription,kimi-k3,ce-03-jvl-completions,,1,completed,20260720T120710Z-ce-03-jvl-completions-1630428-1784549230859861494,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,passed,True,908.965798,56633,1271040,10015,7472,0.0,,,,1
kimi-subscription__kimi-k3__ce-04-maplibre-source-location__default__r01,kimi-subscription,kimi-k3,ce-04-maplibre-source-location,,1,completed,20260720T171617Z-ce-04-maplibre-source-location-2545713-1784567777208351795,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,failed,False,562.735042,36476,717824,6988,4730,0.0,,,,1
kimi-subscription__kimi-k3__ce-05-mise-slsa-archive__default__r01,kimi-subscription,kimi-k3,ce-05-mise-slsa-archive,,1,completed,20260720T234827Z-ce-05-mise-slsa-archive-3757833-1784591307165393591,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,failed,False,1504.471744,167135,3465216,13202,16255,0.0,,,,1
kimi-subscription__kimi-k3__ce-06-maplibre-ffi-ci__default__r01,kimi-subscription,kimi-k3,ce-06-maplibre-ffi-ci,,1,completed,20260720T101907Z-ce-06-maplibre-ffi-ci-1225641-1784542747055338417,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,failed,False,1443.772082,156095,2448384,13522,21247,0.0,,,,1
kimi-subscription__kimi-k3__ce-07-mobility-result__all-errors-as-result__r01,kimi-subscription,kimi-k3,ce-07-mobility-result,all-errors-as-result,1,completed,20260721T015430Z-ce-07-mobility-result-4175458-1784598870622098029,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,passed,True,1815.198455,66278,1984000,14540,6951,0.0,,,,1
kimi-subscription__kimi-k3__ce-07-mobility-result__validation-fail-fast__r01,kimi-subscription,kimi-k3,ce-07-mobility-result,validation-fail-fast,1,completed,20260721T010829Z-ce-07-mobility-result-4022649-1784596109160319812,0,completed,False,5fbee02972f8fca5bf1f748a7958223b9721da65f15423d9930b1787560730b5,failed,False,1352.904824,56854,1612032,11655,6698,0.0,,,,1
openai-subscription__gpt-5.6-sol__ce-01-antidote-output__default__r01,openai-subscription,gpt-5.6-sol,ce-01-antidote-output,,1,completed,20260720T105113Z-ce-01-antidote-output-1313516-1784544673926210758,0,completed,False,6450cb3c31bd1b36bd6421a88379682573a0d7ebb54db4e7e938299ea1d96598,failed,False,105.945484,38585,345088,2555,1203,0.0,,,,1
openai-subscription__gpt-5.6-sol__ce-02-horologia-overdue__default__r01,openai-subscription,gpt-5.6-sol,ce-02-horologia-overdue,,1,completed,20260720T111805Z-ce-02-horologia-overdue-1419028-1784546285761102522,0,completed,False,6450cb3c31bd1b36bd6421a88379682573a0d7ebb54db4e7e938299ea1d96598,passed,True,273.309705,61609,828928,6368,2543,0.0,,,,1
