cell_id,provider,model,task_id,scenario,mode,repeat,state,run_id,agent_exit_code,verification_outcome,deterministic_pass,duration_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,provider_reported_cost,questions,answers,attempts
neuralwatt__qwen3.6-35b__ce-01-antidote-output__default__ask_user__r01,neuralwatt,qwen3.6-35b,ce-01-antidote-output,,ask_user,1,completed,20260716T081606Z-ce-01-antidote-output-2822821-1784189766077948720,0,failed,False,159.553115,55156,1198560,8954,0,0.0,0,0,1
neuralwatt__qwen3.6-35b__ce-07-mobility-result__all-errors-as-result__ask_user__r01,neuralwatt,qwen3.6-35b,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260716T081846Z-ce-07-mobility-result-2822821-1784189926146085542,1,failed,False,2415.890804,380430,7717248,36447,0,0.0,0,0,1
opencode-go__deepseek-v4-pro__ce-01-antidote-output__default__ask_user__r01,opencode-go,deepseek-v4-pro,ce-01-antidote-output,,ask_user,1,completed,20260716T101425Z-ce-01-antidote-output-2822821-1784196865342126456,0,failed,False,678.634104,45263,3086720,10878,18919,0.0,0,0,1
opencode-go__deepseek-v4-pro__ce-07-mobility-result__all-errors-as-result__ask_user__r01,opencode-go,deepseek-v4-pro,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260716T102543Z-ce-07-mobility-result-2822821-1784197543683683493,0,failed,False,1444.552134,87006,5570176,27345,13682,0.0,0,0,1
opencode-go__kimi-k2.7-code__ce-01-antidote-output__default__ask_user__r01,opencode-go,kimi-k2.7-code,ce-01-antidote-output,,ask_user,1,completed,20260716T085901Z-ce-01-antidote-output-2822821-1784192341812935294,0,failed,False,1499.94079,198851,5787570,30131,20277,0.0,0,0,1
opencode-go__kimi-k2.7-code__ce-07-mobility-result__all-errors-as-result__ask_user__r01,opencode-go,kimi-k2.7-code,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260716T092401Z-ce-07-mobility-result-2822821-1784193841565061521,0,failed,False,1365.322483,333700,9112893,25748,4065,0.0,0,0,1
opencode-go__mimo-v2.5-pro__ce-01-antidote-output__default__ask_user__r01,opencode-go,mimo-v2.5-pro,ce-01-antidote-output,,ask_user,1,completed,20260716T094647Z-ce-01-antidote-output-2822821-1784195207564416601,0,failed,False,417.834392,89872,1021376,15187,0,0.0,0,0,1
opencode-go__mimo-v2.5-pro__ce-07-mobility-result__all-errors-as-result__ask_user__r01,opencode-go,mimo-v2.5-pro,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260716T095345Z-ce-07-mobility-result-2822821-1784195625529679855,0,failed,False,1239.184829,151800,5374848,33726,0,0.0,0,0,1
zai__glm-5.2__ce-01-antidote-output__default__ask_user__r01,zai,glm-5.2,ce-01-antidote-output,,ask_user,1,completed,20260716T065202Z-ce-01-antidote-output-2822821-1784184722909872347,0,failed,False,1730.219838,85873,2849600,13029,33032,0.0,0,0,1
zai__glm-5.2__ce-07-mobility-result__all-errors-as-result__ask_user__r01,zai,glm-5.2,ce-07-mobility-result,all-errors-as-result,ask_user,1,completed,20260716T072052Z-ce-07-mobility-result-2822821-1784186452852690329,0,failed,False,3312.366558,157522,9308544,23201,48569,0.0,0,0,1
